E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
17.66	0	17.66	385	17.66	110	17.66	1	17.66	3	17.66	2	17.66	6
17.73	2	17.73	292	17.73	114	17.73	1	17.73	4	17.73	2	17.73	11
17.79	0	17.79	209	17.79	107	17.79	3	17.79	0	17.79	0	17.79	5
17.86	1	17.86	147	17.86	84	17.86	2	17.86	0	17.86	0	17.86	4
17.93	1	17.93	92	17.93	81	17.93	2	17.93	1	17.93	0	17.93	3
17.99	0	17.99	46	17.99	69	17.99	1	17.99	1	17.99	1	17.99	3
18.06	0	18.06	21	18.06	50	18.06	3	18.06	0	18.06	0	18.06	2
18.13	0	18.13	21	18.13	29	18.13	0	18.13	1	18.13	0	18.13	7
18.19	0	18.19	7	18.19	22	18.19	0	18.19	1	18.19	2	18.19	6
18.26	2	18.26	5	18.26	11	18.26	1	18.26	0	18.26	0	18.26	2
18.33	0	18.33	5	18.33	10	18.33	0	18.33	1	18.33	1	18.33	0
18.39	0	18.39	3	18.39	6	18.39	2	18.39	0	18.39	0	18.39	1
18.46	0	18.46	2	18.46	2	18.46	1	18.46	0	18.46	0	18.46	1
18.53	0	18.53	4	18.53	3	18.53	3	18.53	3	18.53	1	18.53	2
18.59	1	18.59	7	18.59	1	18.59	0	18.59	0	18.59	0	18.59	1
18.66	0	18.66	2	18.66	0	18.66	1	18.66	0	18.66	0	18.66	2
18.73	1	18.73	2	18.73	1	18.73	1	18.73	0	18.73	1	18.73	3
18.79	3	18.79	8	18.79	0	18.79	2	18.79	0	18.79	0	18.79	2
18.86	1	18.86	13	18.86	0	18.86	2	18.86	1	18.86	0	18.86	3
18.92	0	18.92	7	18.92	1	18.92	2	18.92	0	18.92	0	18.92	4
18.99	0	18.99	10	18.99	1	18.99	0	18.99	0	18.99	2	18.99	4
19.06	0	19.06	7	19.06	2	19.06	1	19.06	0	19.06	0	19.06	0
19.12	0	19.12	15	19.12	0	19.12	1	19.12	0	19.12	0	19.12	2
19.19	0	19.19	30	19.19	2	19.19	1	19.19	0	19.19	0	19.19	1
19.26	1	19.26	30	19.26	1	19.26	2	19.26	0	19.26	0	19.26	3
19.32	0	19.32	37	19.32	0	19.32	0	19.32	1	19.32	0	19.32	4
19.39	0	19.39	42	19.39	0	19.39	2	19.39	1	19.39	1	19.39	1
19.46	0	19.46	34	19.46	0	19.46	0	19.46	1	19.46	1	19.46	2
19.52	1	19.52	58	19.52	0	19.52	2	19.52	1	19.52	1	19.52	4
19.59	2	19.59	69	19.59	1	19.59	1	19.59	1	19.59	1	19.59	5
19.66	0	19.66	55	19.66	2	19.66	3	19.66	0	19.66	0	19.66	4
19.72	1	19.72	66	19.72	2	19.72	0	19.72	1	19.72	1	19.72	1
19.79	1	19.79	47	19.79	1	19.79	0	19.79	0	19.79	0	19.79	5
19.86	1	19.86	35	19.86	3	19.86	1	19.86	0	19.86	0	19.86	5
